observation_date,MEDCPIM158SFRBCLE
1992-01-01,2.70288528292813979
1992-04-01,3.17317491432536647
1992-07-01,1.92014541573022690
1992-10-01,2.97926453744910669
1993-01-01,2.48011521773877330
1993-04-01,3.20686605606558661
1993-07-01,2.18392760897015670
1993-10-01,3.38452916587731689
1994-01-01,2.83070751501054696
1994-04-01,2.77043043077043016
1994-07-01,3.11175017458768677
1994-10-01,2.60949869830221992
1995-01-01,3.59613354165049381
1995-04-01,3.10583634488306304
1995-07-01,3.07942557695097330
1995-10-01,2.82529435302573351
1996-01-01,3.16843106964720622
1996-04-01,2.86077147774538698
1996-07-01,2.88268775990497339
1996-10-01,2.85958571251783678
1997-01-01,2.77410771233069697
1997-04-01,2.70728815057785699
1997-07-01,2.29126398976488677
1997-10-01,2.75274627998811638
1998-01-01,2.57848634769991314
1998-04-01,2.81216188783644627
1998-07-01,3.25092949489539684
1998-10-01,2.50790119146935675
1999-01-01,1.71073448541759321
1999-04-01,1.85800415444483003
1999-07-01,2.41195080535177020
1999-10-01,2.16124486099840629
2000-01-01,3.35138794234510673
2000-04-01,2.75765653795967980
2000-07-01,3.12693273378796688
2000-10-01,2.88310276253112363
2001-01-01,3.30180446376435688
2001-04-01,3.38918319828256998
2001-07-01,3.00766384267549336
2001-10-01,3.36751134186811996
2002-01-01,3.00591172319301680
2002-04-01,2.53307126062713328
2002-07-01,2.41619163494263667
2002-10-01,2.41249778911486334
2003-01-01,1.76114415715148676
2003-04-01,0.91729490411408798
2003-07-01,2.35025084553368657
2003-10-01,1.69368408183125996
2004-01-01,2.62237717589116004
2004-04-01,2.82693608877608327
2004-07-01,2.26366980219026015
2004-10-01,2.01860570845135978
2005-01-01,2.87431360736620700
2005-04-01,2.29657225139228682
2005-07-01,3.09183633893167009
2005-10-01,2.79112676777748625
2006-01-01,2.67950841785468308
2006-04-01,3.45834104536262332
2006-07-01,3.26052156475623978
2006-10-01,3.13364758377881669
2007-01-01,3.36665567501026652
2007-04-01,2.66328284771286006
2007-07-01,2.90571659914854008
2007-10-01,3.29754791921263690
2008-01-01,3.06052179522468348
2008-04-01,2.91916135650364694
2008-07-01,3.36788324393130312
2008-10-01,1.50048268625190073
2009-01-01,2.15183550435874338
2009-04-01,1.30359501517942000
2009-07-01,0.88856946827861327
2009-10-01,0.72239741665613255
2010-01-01,0.09580624845823731
2010-04-01,0.66437227355014750
2010-07-01,0.86626109311715926
2010-10-01,1.27925661083064335
2011-01-01,2.27812838016493346
2011-04-01,2.16058760398412630
2011-07-01,2.73565974226332331
2011-10-01,2.08120400045418341
2012-01-01,2.43431250614403361
2012-04-01,1.97975639753691324
2012-07-01,2.26472698539486661
2012-10-01,1.91261773587210326
2013-01-01,2.13623588111471685
2013-04-01,2.06083898595719672
2013-07-01,2.12779670648715014
2013-10-01,2.20462659351376988
2014-01-01,2.53871150847594640
2014-04-01,2.02397442566537666
2014-07-01,2.03068391277128990
2014-10-01,2.35622044589777691
2015-01-01,2.11178668030800321
2015-04-01,2.81211373403241982
2015-07-01,2.18541054182584649
2015-10-01,2.12778826260424658
2016-01-01,2.48937851707947999
2016-04-01,3.06979584396734317
2016-07-01,2.57702164556755342
2016-10-01,2.17174739524469329
2017-01-01,2.88101192956662677
2017-04-01,1.85457033992267672
2017-07-01,2.42236948083813664
2017-10-01,2.60036772391018989
2018-01-01,2.71505994584520005
2018-04-01,2.84865319582404020
2018-07-01,2.24730951894372355
2018-10-01,3.08060110141147669
2019-01-01,3.02602116673676669
2019-04-01,2.78370082147295328
2019-07-01,2.77701609641010005
2019-10-01,2.82466749738792311
2020-01-01,3.19275321120810007
2020-04-01,2.24137711830027353
2020-07-01,2.59452952759313682
2020-10-01,1.51907407064563316
2021-01-01,2.13848061223911978
2021-04-01,3.30428143309032674
2021-07-01,4.00454161396249386
2021-10-01,5.78928144565738023
2022-01-01,6.44416417867840607
2022-04-01,7.50774045394087075
2022-07-01,7.25519279879692292
2022-10-01,6.38830187339140032
2023-01-01,6.63728218181412011
2023-04-01,4.80700369008901962
2023-07-01,4.02255636638847403
2023-10-01,4.26023275786162436
2024-01-01,5.14266075697305691
2024-04-01,3.21081892897873322
2024-07-01,3.71061879604901668
2024-10-01,
